name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,is_legendary,defensive_profile,weaknesses,role
bulbasaur,grass,poison,45,49,49,65,65,45,False,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 0.5, 'grass': 0.25, 'ice': 2, 'fighting': 0.5, 'poison': 1.0, 'ground': 1.0, 'flying': 2, 'psychic': 2, 'bug': 1.0, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['fire', 'ice', 'flying', 'psychic']",balanced
ivysaur,grass,poison,60,62,63,80,80,60,False,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 0.5, 'grass': 0.25, 'ice': 2, 'fighting': 0.5, 'poison': 1.0, 'ground': 1.0, 'flying': 2, 'psychic': 2, 'bug': 1.0, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['fire', 'ice', 'flying', 'psychic']",balanced
venusaur,grass,poison,80,82,83,100,100,80,False,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 0.5, 'grass': 0.25, 'ice': 2, 'fighting': 0.5, 'poison': 1.0, 'ground': 1.0, 'flying': 2, 'psychic': 2, 'bug': 1.0, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['fire', 'ice', 'flying', 'psychic']",special attacker
charmander,fire,,39,52,43,60,50,65,False,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 0.5, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 0.5}","['water', 'ground', 'rock']",balanced
charmeleon,fire,,58,64,58,80,65,80,False,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 0.5, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 0.5}","['water', 'ground', 'rock']",balanced
charizard,fire,flying,78,84,78,109,85,100,False,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 2, 'grass': 0.25, 'ice': 1.0, 'fighting': 0.5, 'poison': 1, 'ground': 0, 'flying': 1, 'psychic': 1, 'bug': 0.25, 'rock': 4, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 0.5}","['water', 'electric', 'rock']",fast attacker
squirtle,water,,44,48,65,50,64,43,False,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 2, 'grass': 2, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}","['electric', 'grass']",balanced
wartortle,water,,59,63,80,65,80,58,False,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 2, 'grass': 2, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}","['electric', 'grass']",balanced
blastoise,water,,79,83,100,85,105,78,False,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 2, 'grass': 2, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}","['electric', 'grass']",defensive support
caterpie,bug,,45,30,35,20,20,45,False,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 0.5, 'poison': 1, 'ground': 0.5, 'flying': 2, 'psychic': 1, 'bug': 1, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['fire', 'flying', 'rock']",balanced
